Ч|а|с|т|о|т|а| |п|р|и|л|а|г|а|т|е|л|ь|н|ы|х
весь|['социальный', 'инклюзивный', 'новый', 'комплексный', 'мой', 'первый', 'каждый', 'один', 'равный', 'городской', 'родный', 'безопасный', 'многодетный', 'финансовый', 'нужный', 'силовой', 'артезианский', 'одинаковый']
неотложный|['социальнобытовый']
инклюзивный|['социальный', 'детский', 'молодёжный', 'семейный', 'образовательный', 'спортивный', 'творческий', 'ресурсный', 'экологический', 'интерактивный', 'народный', 'культурный', 'театральный', 'благотворительный', 'музыкальный', 'трудовой', 'волонтёрский', 'художественный', 'выездной', 'профориентационный', 'музейный', 'детскоюношеский', 'многофункциональный', 'швейный', 'ремесленный', 'танцевальный', 'подростковый', 'гончарный', 'коммуникативный', 'краевой', 'социальнообразовательный', 'фольклорный', 'хоккейный', 'хоровой', 'декоративноприкладный', 'культурнодосуговый', 'башкирский', 'ландшафтный', 'янтарный', 'компетентный', 'керамический', 'частный', 'модельный', 'сувенирный', 'интегративный', 'экологокраеведческий', 'экологотуристический', 'образовый', 'сервисный', 'художественнообразовательный', 'пластилиновый', 'хореографический', 'кинотеатральный', 'коннодраматический', 'эксклюзивный', 'коннооздоровительный', 'коннотуристический']
антикризисный|['социальный', 'семейный', 'ресурсный', 'консультационный']
сложный|['жизненный', 'простой', 'эпидемиологический', 'нерешённый']
индивидуальный|['социальный', 'комплексный', 'образовательный', 'спортивный', 'физический', 'коррекционный']
социальный|['инклюзивный', 'семейный', 'образовательный', 'экологический', 'психологический', 'профессиональный', 'правовой', 'мобильный', 'культурный', 'физический', 'трудовой', 'гуманитарный', 'медицинский', 'юридический', 'документальный', 'кризисный', 'духовный', 'дневный', 'психологопедагогический', 'швейный', 'консультационный', 'дорожный', 'профилактический', 'предпринимательский', 'антикризисный', 'личный', 'экономический', 'познавательный', 'бытовой', 'адаптационный', 'ветеринарный', 'транспортный', 'медиакультурный', 'консультационнодрессировочный', 'аудиологический', 'аргентинский']
консультативный|['мобильный', 'юридический']
психологический|['социальный', 'творческий', 'правовой', 'паллиативный', 'физический', 'волонтёрский', 'информационный', 'юридический', 'духовный', 'дистанционный', 'духовнонравственный', 'консультативный', 'материальный', 'ремесленнотворческий', 'доабортный']
бесплатный|['спортивный', 'правовой', 'юридический', 'адресный', 'горячий', 'еженедельный', 'последующий']
донецкий|['народный', 'луганский']
луганский|['народный', 'республиканский']
комплексный|['социальный', 'инклюзивный', 'международный', 'образовательный', 'спортивный', 'ресурсный', 'общественный', 'экологический', 'психологический', 'межрегиональный', 'мобильный', 'патриотический', 'паллиативный', 'физический', 'ранний', 'медицинский', 'юридический', 'домашний', 'социокультурный', 'реабилитационный', 'психологопедагогический', 'дистанционный', 'краеведческий', 'креативный', 'системный', 'адресный', 'медикосоциальный', 'историкопатриотический', 'качественный', 'социальноправовой', 'социальнореабилитационный', 'гуманный', 'социальнобытовый', 'психофизический', 'спортивнопатриотический', 'психологосоциальный', 'культурнодосуговый', 'научнообразовательный', 'систематический', 'социальнопатриотический', 'межсекторный', 'социальнопсихологопедагогический', 'групповой', 'подводный', 'воспитательнообразовательный', 'информационноконсультативный', 'социальнополезный', 'коррекционнопедагогический', 'преемственный', 'медикореабилитационный', 'реабилитационнопедагогический', 'эмоциональнопсихологический']
физический|['социальный', 'ментальный', 'психологический', 'социокультурный', 'психический']
другой|['ограниченный', 'ментальный', 'тяжёлый', 'практический', 'нужный', 'двигательный', 'костный', 'стратегический', 'понятный']
добрый|['семейный', 'сельский', 'каждый', 'швейный', 'гончарный', 'ценный']
правовой|['социальный', 'культурный', 'юридический', 'финансовый', 'материальный', 'диагностический', 'просвещённый', 'антиэкстремистский']
единый|['образовательный', 'городской', 'цифровой', 'студенческий', 'литературный', 'федеральный', 'многофункциональный', 'этнокультурный', 'непобедимый', 'межведомственный']
экстренный|['социальный', 'психологический', 'ультразвуковой', 'круглосуточный']
глухой|['слабослышащий']
международный|['инклюзивный', 'детский', 'молодёжный', 'семейный', 'образовательный', 'творческий', 'ресурсный', 'открытый', 'общественный', 'экологический', 'исторический', 'культурный', 'театральный', 'летний', 'патриотический', 'благотворительный', 'музыкальный', 'большой', 'волонтёрский', 'информационный', 'просветительский', 'студенческий', 'православный', 'литературный', 'научный', 'военный', 'дистанционный', 'московский', 'детскоюношеский', 'инженерный', 'телевизионный', 'танцевальный', 'электронный', 'мультимедийный', 'историкокультурный', 'информационнопросветительский', 'научнотехнический', 'научнопрактический', 'археологический', 'историкопросветительский', 'этнический', 'джазовый', 'культурнодосуговый', 'научнообразовательный', 'экспертный', 'мультикультурный', 'уфимский', 'российскоказахстанский', 'фестивальный', 'общественнокультурный', 'кавказский', 'кинематографический', 'научноэкспертный', 'тихвинский', 'миротворческий', 'транссибирский', 'экологоэтнический', 'музыкальнопатриотический', 'общественнопатриотический', 'лихачевский', 'научнодипломатический']
трудный|['жизненный']
казачий|['ресурсный', 'военнопатриотический', 'культурнопросветительский', 'детскоюношеский', 'культурноисторический', 'юношеский', 'кадетский', 'героический', 'детскомолодёжный', 'туристскообразовательный', 'обрядовый', 'бойцовский', 'коммунарский']
добровольческий|['социальный', 'ресурсный', 'экологический', 'волонтёрский', 'тот', 'патронажный', 'независимый', 'спасательный', 'поисковоспасательный']
российский|['национальный', 'волонтёрский', 'креативный', 'дальний', 'красный', 'культурноисторический', 'математический', 'еврейский', 'зарубежный', 'клубный', 'донорский', 'археологоэтнографический', 'германский']
широкий|['общественный', 'казачий']
социальнопсихологический|['трудовой', 'юридический', 'медицинский']
неизлечимый|['тяжёлый', 'онкологический', 'больной']
специальный|['профессиональный', 'образовательновыставочный', 'конкурснообразовательный']
гуманитарный|['социальный', 'просветительский', 'добровольческий', 'продовольственный']
низкий|['стартовый']
новый|['социальный', 'детский', 'образовательный', 'спортивный', 'региональный', 'профессиональный', 'городской', 'гражданский', 'сибирский', 'музейный', 'туристический', 'коронавирусный', 'уникальный', 'старый', 'дворовый', 'лечебный', 'психосоциальный', 'петровский', 'еженедельный', 'европейский', 'посткризисный', 'томышевый', 'патерновый', 'поколениесибирский', 'концертногий']
тяжёлый|['жизненный', 'финансовый', 'больной', 'множественный', 'двигательный', 'неизлечимый', 'речевой', 'хронический', 'психоречевой']
креативный|['семейный', 'общественный', 'театральный', 'инновационный', 'рекреационный']
высокотехнологичный|[]
республиканский|['детский', 'молодёжный', 'волонтёрский', 'технический', 'музейный', 'зимний']
каждый|['новый', 'особый', 'правовой', 'свой', 'особенный', 'нужный', 'важный', 'социальнопедагогический', 'способный', 'диджитал']
