NAME-AREA
Жизнь продолжается-Социальное обслуживание, социальная поддержка и защита граждан
Центр Развития Социальных Компетенций-Развитие общественной дипломатии и поддержка соотечественников
Вынужденные переселенцы: помощь всем и каждому-Социальное обслуживание, социальная поддержка и защита граждан
Войти в IT-Развитие общественной дипломатии и поддержка соотечественников
Шаг в будущее-Социальное обслуживание, социальная поддержка и защита граждан
"Оптимизация системы оказания неотложной социально-бытовой помощи людям, оказавшимся в г. Москве без крова и средств"-Социальное обслуживание, социальная поддержка и защита граждан
Инклюзивная спортивная суббота-Социальное обслуживание, социальная поддержка и защита граждан
Просто настало время помогать-Социальное обслуживание, социальная поддержка и защита граждан
Уроки Русского-Социальное обслуживание, социальная поддержка и защита граждан
"Музыка - стихия доброты"-Социальное обслуживание, социальная поддержка и защита граждан
#МАМАНАЧАС 2.0-Социальное обслуживание, социальная поддержка и защита граждан
Своих не бросаем-Социальное обслуживание, социальная поддержка и защита граждан
Создание условий для развития НКО и местных сообществ в муниципальных районах ЛНР-Развитие общественной дипломатии и поддержка соотечественников
ЖИЗНЬ ПРОДОЛЖАЕТСЯ: социальная поддержка малоимущих семей с онкобольными детьми, проходящими лечение в Онкоцентре им. Н.Н. Блохина-Социальное обслуживание, социальная поддержка и защита граждан
СОВА. Антикризисное социальное сопровождение семей в сложной жизненной ситуации-Социальное обслуживание, социальная поддержка и защита граждан
"Вместе мы сильнее. Поддержим наших добровольцев-земляков и их семьи"-Социальное обслуживание, социальная поддержка и защита граждан
"Центр ""Открыть Мир - ресурсный центр помощи людям с аутизмом и их семьям"-Социальное обслуживание, социальная поддержка и защита граждан
Индивидуальное социальное и юридическое сопровождение людей без дома-Социальное обслуживание, социальная поддержка и защита граждан
"Стираем границы - строим мосты"-Развитие общественной дипломатии и поддержка соотечественников
""" Театр без границ"""-Социальное обслуживание, социальная поддержка и защита граждан
Жизнь продолжается-Социальное обслуживание, социальная поддержка и защита граждан
Центр Развития Социальных Компетенций-Развитие общественной дипломатии и поддержка соотечественников
Вынужденные переселенцы: помощь всем и каждому-Социальное обслуживание, социальная поддержка и защита граждан
Войти в IT-Развитие общественной дипломатии и поддержка соотечественников
Шаг в будущее-Социальное обслуживание, социальная поддержка и защита граждан
"Оптимизация системы оказания неотложной социально-бытовой помощи людям, оказавшимся в г. Москве без крова и средств"-Социальное обслуживание, социальная поддержка и защита граждан
Инклюзивная спортивная суббота-Социальное обслуживание, социальная поддержка и защита граждан
Просто настало время помогать-Социальное обслуживание, социальная поддержка и защита граждан
Уроки Русского-Социальное обслуживание, социальная поддержка и защита граждан
"Музыка - стихия доброты"-Социальное обслуживание, социальная поддержка и защита граждан
#МАМАНАЧАС 2.0-Социальное обслуживание, социальная поддержка и защита граждан
Своих не бросаем-Социальное обслуживание, социальная поддержка и защита граждан
Создание условий для развития НКО и местных сообществ в муниципальных районах ЛНР-Развитие общественной дипломатии и поддержка соотечественников
ЖИЗНЬ ПРОДОЛЖАЕТСЯ: социальная поддержка малоимущих семей с онкобольными детьми, проходящими лечение в Онкоцентре им. Н.Н. Блохина-Социальное обслуживание, социальная поддержка и защита граждан
СОВА. Антикризисное социальное сопровождение семей в сложной жизненной ситуации-Социальное обслуживание, социальная поддержка и защита граждан
"Вместе мы сильнее. Поддержим наших добровольцев-земляков и их семьи"-Социальное обслуживание, социальная поддержка и защита граждан
"Центр ""Открыть Мир - ресурсный центр помощи людям с аутизмом и их семьям"-Социальное обслуживание, социальная поддержка и защита граждан
Индивидуальное социальное и юридическое сопровождение людей без дома-Социальное обслуживание, социальная поддержка и защита граждан
"Стираем границы - строим мосты"-Развитие общественной дипломатии и поддержка соотечественников
""" Театр без границ"""-Социальное обслуживание, социальная поддержка и защита граждан
Сектор интеграции-Развитие общественной дипломатии и поддержка соотечественников
"Азов - город добра"-Социальное обслуживание, социальная поддержка и защита граждан
"Консультативная, психологическая и психотерапевтическая помощь родителям детей-инвалидов и детей с ОВЗ из приграничных к Донбассу и Украине территорий"-Социальное обслуживание, социальная поддержка и защита граждан
