центр|['славка', 'мультимедийный', 'пробуждение', 'бурятский', 'молодёжь', 'ангарск', 'плесец', 'родительский', 'мираса', 'зональный', 'городзавод', 'берег', 'курганский', 'музейноинформационный', 'пожарноспасательный', 'логопедический', 'досуговообразовательный', 'покров', 'историкокультурный', 'спид', 'искусство', 'софия', 'страна', 'ресурснометодический', 'дрессировка', 'команда', 'изучение', 'святограда', 'база', 'адаптационнореабилитационный', 'экозеленоград', 'продвижение', 'информационноправозащитный', 'культурноремесленный', 'азия', 'передача', 'детейинвалид', 'гидрореабилитация', 'музей', 'профориентир', 'тренировочный', 'сибирский', 'джигитовка', 'ремесленный', 'укрепление', 'акселератор', 'учебноконсультационный', 'краеведение', 'оздоровительнодосуговый', 'студенческий', 'военнопатриотический', 'ремесло', 'менеджмент', 'творческодосуговый', 'артель', 'консультирование', 'доброволец', 'ремара', 'колыбельшуя', 'физкультурнооздоровительный', 'информационноконсультативный', 'поиск', 'родственник', 'конноспортивный', 'библиотечноинформационный', 'ракурс', 'актив', 'борьба', 'единый', 'муниципальный', 'передвижной', 'хранитель', 'айкидо', 'парк', 'консультационнодрессировочный', 'дружина', 'выставочный', 'наследник', 'анна', 'поисковоисследовательский', 'сретение', 'радость', 'духовный', 'спасательный', 'районный', 'патриотический', 'мультипликационный', 'москва', 'бумеранг', 'иппотерапия', 'локальный', 'трезвение', 'эпишура', 'дотация', 'модель', 'самоорганизация', 'исторический', 'экологокраеведческий', 'жкх', 'колыбель', 'благовест', 'социальноинформационный', 'нкопоставщик', 'юг', 'туризм', 'уля', 'мотивационный', 'церковный', 'специалист', 'взросление', 'карьера', 'феникс', 'желание', 'экспертнометодический', 'добровольческий', 'любитель', 'братчина', 'академия', 'кадровый', 'средство', 'простор', 'движение', 'проблема', 'раскраска', 'дом', 'мотивация', 'моделирование', 'детиангел', 'знание', 'педагог', 'кадр', 'мост', 'закрытый', 'умиление', 'планета', 'координационный', 'кинологический', 'тхэквондо', 'материнство', 'межрайонный', 'экспозиционновыставочный', 'туристкопаломнический', 'робототехника', 'инженерный', 'убежище', 'тренинговый', 'спортивный', 'мультикультурный', 'креатив', 'онкологический', 'отдых', 'ветеран', 'аватар', 'продюсерский', 'сотворчество', 'дворовый', 'серафимовский', 'краснодарский', 'межпоселковый', 'духовнопсихологический', 'общение', 'методический', 'вскс', 'многопрофильный', 'каритас', 'республиканский', 'будущее', 'экологотуристический', 'учение', 'клиника', 'место', 'консультация', 'бизнеспроект', 'консультационнодиагностический', 'логос', 'созвездие', 'зеро', 'тренировочнокоммуникативный', 'сотрудничество', 'утверждение', 'туристический', 'интерактивный', 'восстановительный', 'бидекит', 'умка', 'внимание', 'взаимодействие', 'форма', 'профилактический', 'учебноспортивный', 'жкхзащита', 'сервисный', 'этнографический', 'спортивнообразовательный', 'информационноресурсный', 'иван', 'общественнодобровольческий', 'переселенец', 'медиакомпетенция', 'ольхон', 'преподавание', 'керамика', 'сахарок', 'технический', 'праздник', 'социальнопросветительский', 'исследовательский', 'информационнопоисковый', 'точка', 'оздоровительновосстановительный', 'всероссийский', 'ано', 'реабилитационнопрофориентационный', 'уютный', 'храм', 'гуманитарнопросветительский', 'источник', 'выездной', 'круг', 'лицо', 'зависимый', 'социальнопсихологичёс', 'благоарт', 'памятникоохранение', 'сборка', 'сфера', 'диспетчерская', 'наставничество', 'доступ', 'вопрос', 'центр', 'республика', 'социализация', 'туристскообразовательный', 'надежда', 'диалог', 'чердак', 'патриот', 'возможность', 'антон', 'город', 'родитель', 'познание', 'имя', 'оздоровительный', 'творчество', 'экологический', 'радуга', 'солнышко', 'школа', 'ковчег', 'негосударственный', 'низкопороговый', 'культурнопросветительский', 'информационноконсультационный', 'стажировочный', 'практика', 'формирование', 'добровольчество', 'мир', 'преображение', 'инструмент', 'театральный', 'память', 'сохранение', 'вещевой', 'мастер', 'православный', 'забота', 'ресоциализация', 'информационнометодический', 'микрореабилитационный', 'учебнотренировочный', 'информационнокраеведческий', 'консультативный', 'информационнопросветительский', 'ветеринарный', 'книжный', 'работа', 'правозащитный', 'культурный', 'приём', 'мама', 'интеграционный', 'культурноисторический', 'медиа', 'проект', 'волонтёр', 'повышение', 'пермь', 'комплексный', 'коррекция', 'учебнометодический', 'спортивнодосуговый', 'граница', 'взаимопомощь', 'соседский', 'профориентация', 'творческий', 'петербургский', 'жизнь', 'волонтёрский', 'милосердие', 'радимич', 'межрегиональный', 'досуг', 'детский', 'экологопросветительский', 'просветительский', 'г', 'стерилизация', 'сопровождение', 'информационный', 'здоровье', 'притяжение', 'инновационный', 'женщина', 'духовнопросветительский', 'адаптационный', 'оказание', 'компетенция', 'этнокультурный', 'мобильный', 'дневный', 'адаптация', 'областной', 'семья', 'реабилитация', 'городской', 'обучение', 'содействие', 'социальнореабилитационный', 'учебный', 'досуговый', 'территория', 'подготовка', 'общественный', 'социальный', 'многофункциональный', 'гуманитарный', 'региональный', 'молодёжный', 'реабилитационный', 'правовой', 'образовательный', 'кризисный', 'ребёнок', 'профилактика', 'человек', 'консультационный', 'семейный', 'инклюзивный', 'защита', 'развитие', 'помощь', 'поддержка', 'ресурсный']
компетенция|['межнациональный', 'информационный', 'практический', 'общий', 'функциональный', 'молодёжь', 'жизнь', 'экспертный', 'сотрудник', 'транспрофессиональный', 'пожилое', 'женщина', 'будущее', 'современный', 'жкх', 'доступный', 'волонтеровпсихолог', 'ремесленный', 'вызов', 'важный', 'информированность', 'работник', 'социокультурный', 'знание', 'личностный', 'инженерный', 'стратегический', 'поддержка', 'диагноз', 'формирование', 'коммуникативный', 'ворди', 'семья', 'человек', 'организация', 'навык', 'читательский', 'надпредметный', 'дорога', 'область', 'новый', 'компьютерный', 'развитие', 'детейсирота', 'старшеклассник', 'предпринимательский', 'творческий', 'ребёнок', 'подросток', 'лидерский', 'школьник', 'трудовой', 'цифровой', 'сфера', 'родитель', 'социальный', 'специалист', 'родительский', 'жизненный', 'профессиональный']
переселенец|['подростковвынужденный', 'процесс', 'курский', 'помощь', 'территория', 'донбасс', 'вынужденный']
шаг|['комплекс', 'история', 'наука', 'воздушный', 'поновое', 'интернет', 'сибирский', 'самоуправление', 'бодрый', 'спорт', 'природа', 'зелёный', 'совершенство', 'весь', 'долголетие', 'свободный', 'содействие', 'цель', 'бессмертие', 'мир', 'круг', 'рост', 'самостоятельность', 'единство', 'выбор', 'школа', 'советыважный', 'поиск', 'инклюзия', 'бизнес', 'инструмент', 'встреча', 'сохранение', 'цивилизация', 'семья', 'безопасность', 'лёгкий', 'профессия', 'жизнь', 'победа', 'взрослый', 'новый', 'путь', 'развитие', 'успех', 'маленький', 'здоровье', 'шаг', 'будущее', 'первый']
оптимизация|['система']
система|['приверженность', 'реабилитация', 'обеспечение', 'работа', 'распределённый', 'курс', 'молодёжь', 'национальный', 'профориентационный', 'эффективный', 'исполнение', 'пенитенциарный', 'предупреждение', 'отбор', 'ценность', 'оценка', 'подросток', 'информационноаналитический', 'идентификация', 'исполнительный', 'территория', 'кохлеарна', 'сиротский', 'опорнодвигательный', 'телемедицинский', 'инфраструктурный', 'выявление', 'оздоровление', 'занятость', 'леос', 'учёт', 'общественный', 'интерактивный', 'надомный', 'освобождение', 'ориентир', 'авария', 'повышение', 'иерархический', 'сообщество', 'субьектаха', 'иммунный', 'сопровождение', 'региональный', 'карстовый', 'образовательный', 'практика', 'защита', 'информирование', 'непрерывный', 'образование', 'мониторинг', 'помощь', 'поддержка', 'подготовка', 'оказание', 'комплексный', 'развитие']
помощь|['служба', 'малый', 'практический', 'церковный', 'мой', 'военнослужащий', 'метод', 'помощь', 'балашиха', 'молодёжь', 'специалист', 'инвалидамколясочник', 'доставка', 'родительский', 'связь', 'доброволец', 'кризис', 'посох', 'обитель', 'священнослужитель', 'школьник', 'защита', 'взаимный', 'граница', 'информационнокоммуникационный', 'педагогический', 'длянеё', 'логопедический', 'поиск', 'добрый', 'преемственный', 'равный', 'родственник', 'стирка', 'диагностический', 'нужный', 'жертва', 'неодень', 'пункт', 'оптимизация', 'версия', 'соседство', 'медикопсихологосоциальный', 'обеспечение', 'санктпетербург', 'земляк', 'имджанел', 'центр', 'здоровье', 'занятие', 'программа', 'приемныеправовой', 'просвещение', 'мастеркласс', 'безработный', 'социализация', 'духовнонравственный', 'экономия', 'патронаж', 'продукт', 'психосоциальный', 'ветеринарногуманитарный', 'рождение', 'ангар', 'знамение', 'доброход', 'изучение', 'выпускник', 'подготовка', 'иммунитет', 'психодерматологический', 'использование', 'инновационный', 'дошкольник', 'база', 'александр', 'материнство', 'проект', 'забота', 'надежда', 'надёжный', 'орбита', 'стоматологический', 'музыкальный', 'содержание', 'группа', 'оказание', 'волонтёр', 'осознанный', 'привлечение', 'система', 'территория', 'штаб', 'малышкола', 'популяризация', 'содействие', 'милосердиекраснодар', 'офтальмологический', 'право', 'расстояние', 'медикопсихологический', 'получение', 'колесо', 'открытие', 'детямбеженец', 'действие', 'разовый', 'совместный', 'глубинка', 'охрана', 'реабилитационнопедагогический', 'медикопрофилактический', 'восстановление', 'дорога', 'вид', 'ева', 'вич', 'адрес', 'сопровождение', 'святитель', 'информационный', 'антинаркотический', 'предоставление', 'урок', 'старший', 'медикореабилитационный', 'социальнореабилитационный', 'залог', 'консультативный', 'разумный', 'дистанционный', 'социальноэкономический', 'успенка', 'дружеский', 'старик', 'бухгалтерский', 'паллиатив', 'своевременный', 'время', 'понимание', 'рост', 'ценный', 'фактор', 'лепта', 'собака', 'врач', 'арттерапевтический', 'ситуация', 'сфера', 'еда', 'свалка', 'особенный', 'стерилизация', 'фокус', 'якутия', 'медиация', 'модный', 'психотерапевтический', 'продовольственный', 'кризисный', 'основа', 'добровольческий', 'лошадь', 'школа', 'особый', 'социальнопсихологопедагогический', 'республика', 'психологосоциальный', 'сердце', 'наш', 'социальнобытовый', 'потребитель', 'росточка', 'братский', 'цикл', 'приют', 'мигрант', 'ветеран', 'работник', 'конец', 'развитие', 'безопасность', 'один', 'взрослый', 'период', 'доврачебный', 'создание', 'разносторонний', 'милосердие', 'мама', 'всесторонний', 'срочный', 'семейный', 'социальноправовой', 'реабилитация', 'эффективный', 'регион', 'продуктовый', 'г', 'переселенец', 'участник', 'цифровой', 'медикосоциальный', 'дольщик', 'подросток', 'волонтёрский', 'ветеринарный', 'экстренный', 'мастерская', 'реабилитационный', 'неотложный', 'скорый', 'социальнопсихологический', 'реальный', 'доступный', 'адаптация', 'психологопедагогический', 'профилактика', 'жизнь', 'тёплый', 'детяминвалид', 'пенсионер', 'вещевой', 'население', 'инвалид', 'детямсирота', 'пациент', 'дом', 'благотворительный', 'беженец', 'мобильный', 'женщина', 'системный', 'житель', 'родитель', 'лицо', 'адресный', 'поддержка', 'гражданин', 'медицинский', 'правовой', 'первый', 'человек', 'юридический', 'ранний', 'психологический', 'гуманитарный', 'паллиативный', 'комплексный', 'социальный', 'ребёнок', 'семья']
г|['слабослышащий', 'копейск', 'петрозаводск', 'корс', 'санктпетербург', 'прокопьевск', 'пермь', 'херсон', 'тимашевск', 'кемерово', 'таганрог', 'магнитогорск', 'зеленодольск', 'тихорецк', 'томск', 'белгород', 'сортавала', 'харцызск', 'пестово', 'богатый', 'субъект', 'киров', 'саратов', 'муром', 'рубцовск', 'муравленко', 'русский', 'красноярск', 'троицк', 'сыктывкар', 'санкт', 'нягань', 'саяногорск', 'ржев', 'чебоксары', 'коммунар', 'ярославль', 'мончегорск', 'ньюйорк', 'устьилимск', 'златоуст', 'казань', 'тольятти', 'архангельск', 'создание', 'калининград', 'екатеринб', 'вологда', 'свердловск', 'тюмень', 'севастополь', 'ростовнадон', 'иркутск', 'суздаль', 'калуга', 'сибай', 'владивосток', 'кострома', 'лабытнанги', 'сочи', 'тверь', 'челябинск', 'уфа', 'оренбург', 'сургут', 'сызрань', 'екатеринбург', 'новосибирск', 'москва']
москва|['условие', 'бомба', 'летие', 'отход', 'подмосковье', 'кил', 'год', 'г', 'декабрь', 'звенигород', 'улица', 'разработка', 'кров', 'регион']
кров|['апостол', 'средство']
